WRN 2026-06-18T15:22:08.884 ui.5661    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-18T15:22:08.884 ui.5661    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-18T15:22:08.884 ui.5661    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-18T15:22:08.884 ui.5661    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-18T15:22:08.884 ui.5661    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-18T16:56:38.226 ui.3884    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-18T16:56:38.226 ui.3884    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-18T16:56:38.226 ui.3884    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-18T16:56:38.226 ui.3884    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-18T16:56:38.226 ui.3884    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-18T18:34:42.018 ui.3917    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-18T18:34:42.018 ui.3917    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-18T18:34:42.018 ui.3917    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-18T18:34:42.018 ui.3917    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-18T18:34:42.018 ui.3917    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-18T18:38:48.539 ui.3962    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-18T18:38:48.539 ui.3962    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-18T18:38:48.539 ui.3962    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-18T18:38:48.539 ui.3962    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-18T18:38:48.539 ui.3962    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-18T18:39:55.472 ui.4033    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-18T18:39:55.472 ui.4033    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-18T18:39:55.472 ui.4033    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-18T18:39:55.472 ui.4033    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-18T18:39:55.472 ui.4033    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-18T18:40:28.728 ui.4176    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-18T18:40:28.728 ui.4176    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-18T18:40:28.728 ui.4176    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-18T18:40:28.728 ui.4176    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-18T18:40:28.728 ui.4176    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-19T03:24:18.224 ui.7654    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-19T03:24:18.224 ui.7654    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-19T03:24:18.224 ui.7654    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-19T03:24:18.224 ui.7654    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-19T03:24:18.224 ui.7654    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-27T06:06:15.722 ui.14195   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T06:06:15.728 ui.14195   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T06:06:15.728 ui.14195   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-27T06:06:15.728 ui.14195   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T06:06:15.728 ui.14195   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-27T21:36:49.739 ui.7512    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T21:36:49.741 ui.7512    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T21:36:49.741 ui.7512    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-27T21:36:49.741 ui.7512    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T21:36:49.741 ui.7512    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-27T23:17:12.141 ui.5236    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T23:17:12.147 ui.5236    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T23:17:12.147 ui.5236    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-27T23:17:12.147 ui.5236    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T23:17:12.147 ui.5236    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-27T23:25:26.139 ui.6321    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T23:25:26.139 ui.6321    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T23:25:26.139 ui.6321    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-27T23:25:26.139 ui.6321    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T23:25:26.139 ui.6321    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-27T23:26:06.131 ui.6371    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T23:26:06.131 ui.6371    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T23:26:06.131 ui.6371    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-27T23:26:06.131 ui.6371    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T23:26:06.131 ui.6371    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-27T23:27:36.437 ui.6465    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T23:27:36.437 ui.6465    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T23:27:36.437 ui.6465    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-27T23:27:36.437 ui.6465    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T23:27:36.437 ui.6465    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-27T23:28:23.980 ui.6556    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T23:28:23.980 ui.6556    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T23:28:23.980 ui.6556    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
